       0.0 | 00:00:00 | START
       0.0 | 00:00:00 | order O-1 is requested (CUSTOMER 1 -> DEPOT)
       0.0 | 00:00:00 | order O-2 is requested (CUSTOMER 2 -> DEPOT)
       0.0 | 00:00:00 | order O-3 is requested (CUSTOMER 3 -> DEPOT)
       0.0 | 00:00:00 | order O-4 is requested (CUSTOMER 4 -> DEPOT)
       0.0 | 00:00:00 | order O-5 is requested (CUSTOMER 5 -> DEPOT)
       0.0 | 00:00:00 | order O-6 is requested (CUSTOMER 6 -> DEPOT)
       0.0 | 00:00:00 | order O-7 is requested (CUSTOMER 7 -> DEPOT)
       0.0 | 00:00:00 | order O-8 is requested (CUSTOMER 8 -> DEPOT)
       0.0 | 00:00:00 | order O-9 is requested (CUSTOMER 9 -> DEPOT)
       0.0 | 00:00:00 | order O-10 is requested (CUSTOMER 10 -> DEPOT)
       0.0 | 00:00:00 | order O-11 is requested (CUSTOMER 11 -> DEPOT)
       0.0 | 00:00:00 | order O-12 is requested (CUSTOMER 12 -> DEPOT)
       0.0 | 00:00:00 | order O-13 is requested (CUSTOMER 13 -> DEPOT)
       0.0 | 00:00:00 | order O-14 is requested (CUSTOMER 14 -> DEPOT)
       0.0 | 00:00:00 | order O-15 is requested (CUSTOMER 15 -> DEPOT)
       0.0 | 00:00:00 | <<< routing >>>
       0.0 | 00:00:00 | TRUCK-1 | departed from DEPOT to CUSTOMER 8
       0.0 | 00:00:00 | TRUCK-2 | departed from DEPOT to CUSTOMER 2
       0.0 | 00:00:00 | TRUCK-3 | departed from DEPOT to CUSTOMER 14
       0.0 | 00:00:00 | TRUCK-4 | departed from DEPOT to CUSTOMER 9
    1521.1 | 00:25:21 | TRUCK-4 | arrived at CUSTOMER 9
    1521.1 | 00:25:21 | TRUCK-4 | service is started
    1521.1 | 00:25:21 | TRUCK-4 | order O-9 is picked up
    1521.1 | 00:25:21 | TRUCK-4 | service is finished
    1521.1 | 00:25:21 | TRUCK-4 | departed from CUSTOMER 9 to CUSTOMER 12
    2594.1 | 00:43:14 | TRUCK-1 | arrived at CUSTOMER 8
    2594.1 | 00:43:14 | TRUCK-1 | service is started
    2594.1 | 00:43:14 | TRUCK-1 | order O-8 is picked up
    2594.1 | 00:43:14 | TRUCK-1 | service is finished
    2594.1 | 00:43:14 | TRUCK-1 | departed from CUSTOMER 8 to CUSTOMER 15
    2923.5 | 00:48:43 | TRUCK-3 | arrived at CUSTOMER 14
    2923.5 | 00:48:43 | TRUCK-3 | service is started
    2923.5 | 00:48:43 | TRUCK-3 | order O-14 is picked up
    2923.5 | 00:48:43 | TRUCK-3 | service is finished
    2923.5 | 00:48:43 | TRUCK-3 | departed from CUSTOMER 14 to CUSTOMER 7
    3465.5 | 00:57:45 | TRUCK-4 | arrived at CUSTOMER 12
    3465.5 | 00:57:45 | TRUCK-4 | service is started
    3465.5 | 00:57:45 | TRUCK-4 | order O-12 is picked up
    3465.5 | 00:57:45 | TRUCK-4 | service is finished
    3465.5 | 00:57:45 | TRUCK-4 | departed from CUSTOMER 12 to CUSTOMER 6
    4295.6 | 01:11:35 | TRUCK-1 | arrived at CUSTOMER 15
    4295.6 | 01:11:35 | TRUCK-1 | service is started
    4295.6 | 01:11:35 | TRUCK-1 | order O-15 is picked up
    4295.6 | 01:11:35 | TRUCK-1 | service is finished
    4295.6 | 01:11:35 | TRUCK-1 | departed from CUSTOMER 15 to CUSTOMER 3
    4655.2 | 01:17:35 | TRUCK-4 | arrived at CUSTOMER 6
    4655.2 | 01:17:35 | TRUCK-4 | service is started
    4655.2 | 01:17:35 | TRUCK-4 | order O-6 is picked up
    4655.2 | 01:17:35 | TRUCK-4 | service is finished
    4655.2 | 01:17:35 | TRUCK-4 | departed from CUSTOMER 6 to CUSTOMER 13
    4761.8 | 01:19:21 | TRUCK-3 | arrived at CUSTOMER 7
    4761.8 | 01:19:21 | TRUCK-3 | service is started
    4761.8 | 01:19:21 | TRUCK-3 | order O-7 is picked up
    4761.8 | 01:19:21 | TRUCK-3 | service is finished
    4761.8 | 01:19:21 | TRUCK-3 | departed from CUSTOMER 7 to CUSTOMER 1
    5177.6 | 01:26:17 | TRUCK-2 | arrived at CUSTOMER 2
    5177.6 | 01:26:17 | TRUCK-2 | service is started
    5177.6 | 01:26:17 | TRUCK-2 | order O-2 is picked up
    5177.6 | 01:26:17 | TRUCK-2 | service is finished
    5177.6 | 01:26:17 | TRUCK-2 | departed from CUSTOMER 2 to CUSTOMER 4
    5723.5 | 01:35:23 | TRUCK-4 | arrived at CUSTOMER 13
    5723.5 | 01:35:23 | TRUCK-4 | service is started
    5723.5 | 01:35:23 | TRUCK-4 | order O-13 is picked up
    5723.5 | 01:35:23 | TRUCK-4 | service is finished
    5723.5 | 01:35:23 | TRUCK-4 | departed from CUSTOMER 13 to DEPOT
    5855.9 | 01:37:35 | TRUCK-2 | arrived at CUSTOMER 4
    5855.9 | 01:37:35 | TRUCK-2 | service is started
    5855.9 | 01:37:35 | TRUCK-2 | order O-4 is picked up
    5855.9 | 01:37:35 | TRUCK-2 | service is finished
    5855.9 | 01:37:35 | TRUCK-2 | departed from CUSTOMER 4 to CUSTOMER 11
    6119.1 | 01:41:59 | TRUCK-1 | arrived at CUSTOMER 3
    6119.1 | 01:41:59 | TRUCK-1 | service is started
    6119.1 | 01:41:59 | TRUCK-1 | order O-3 is picked up
    6119.1 | 01:41:59 | TRUCK-1 | service is finished
    6119.1 | 01:41:59 | TRUCK-1 | departed from CUSTOMER 3 to CUSTOMER 10
    7391.4 | 02:03:11 | TRUCK-1 | arrived at CUSTOMER 10
    7391.4 | 02:03:11 | TRUCK-1 | service is started
    7391.4 | 02:03:11 | TRUCK-1 | order O-10 is picked up
    7391.4 | 02:03:11 | TRUCK-1 | service is finished
    7391.4 | 02:03:11 | TRUCK-1 | departed from CUSTOMER 10 to CUSTOMER 5
    7853.8 | 02:10:53 | TRUCK-2 | arrived at CUSTOMER 11
    7853.8 | 02:10:53 | TRUCK-2 | service is started
    7853.8 | 02:10:53 | TRUCK-2 | order O-11 is picked up
    7853.8 | 02:10:53 | TRUCK-2 | service is finished
    7853.8 | 02:10:53 | TRUCK-2 | departed from CUSTOMER 11 to DEPOT
    8501.2 | 02:21:41 | TRUCK-3 | arrived at CUSTOMER 1
    8501.2 | 02:21:41 | TRUCK-3 | service is started
    8501.2 | 02:21:41 | TRUCK-3 | order O-1 is picked up
    8501.2 | 02:21:41 | TRUCK-3 | service is finished
    8501.2 | 02:21:41 | TRUCK-3 | departed from CUSTOMER 1 to DEPOT
    8794.0 | 02:26:34 | TRUCK-3 | arrived at DEPOT
    8794.0 | 02:26:34 | TRUCK-3 | service is requested
    8794.0 | 02:26:34 | TRUCK-3 | service is started
    8794.0 | 02:26:34 | TRUCK-3 | order O-14 is delivered
    8794.0 | 02:26:34 | TRUCK-3 | order O-7 is delivered
    8794.0 | 02:26:34 | TRUCK-3 | order O-1 is delivered
    8794.0 | 02:26:34 | TRUCK-3 | service is finished
    9327.3 | 02:35:27 | TRUCK-4 | arrived at DEPOT
    9327.3 | 02:35:27 | TRUCK-4 | service is requested
    9327.3 | 02:35:27 | TRUCK-4 | service is started
    9327.3 | 02:35:27 | TRUCK-4 | order O-9 is delivered
    9327.3 | 02:35:27 | TRUCK-4 | order O-12 is delivered
    9327.3 | 02:35:27 | TRUCK-4 | order O-6 is delivered
    9327.3 | 02:35:27 | TRUCK-4 | order O-13 is delivered
    9327.3 | 02:35:27 | TRUCK-4 | service is finished
   10671.0 | 02:57:50 | TRUCK-1 | arrived at CUSTOMER 5
   10671.0 | 02:57:50 | TRUCK-1 | service is started
   10671.0 | 02:57:50 | TRUCK-1 | order O-5 is picked up
   10671.0 | 02:57:50 | TRUCK-1 | service is finished
   10671.0 | 02:57:50 | TRUCK-1 | departed from CUSTOMER 5 to DEPOT
   12302.7 | 03:25:02 | TRUCK-2 | arrived at DEPOT
   12302.7 | 03:25:02 | TRUCK-2 | service is requested
   12302.7 | 03:25:02 | TRUCK-2 | service is started
   12302.7 | 03:25:02 | TRUCK-2 | order O-2 is delivered
   12302.7 | 03:25:02 | TRUCK-2 | order O-4 is delivered
   12302.7 | 03:25:02 | TRUCK-2 | order O-11 is delivered
   12302.7 | 03:25:02 | TRUCK-2 | service is finished
   13806.6 | 03:50:06 | TRUCK-1 | arrived at DEPOT
   13806.6 | 03:50:06 | TRUCK-1 | service is requested
   13806.6 | 03:50:06 | TRUCK-1 | service is started
   13806.6 | 03:50:06 | TRUCK-1 | order O-8 is delivered
   13806.6 | 03:50:06 | TRUCK-1 | order O-15 is delivered
   13806.6 | 03:50:06 | TRUCK-1 | order O-3 is delivered
   13806.6 | 03:50:06 | TRUCK-1 | order O-10 is delivered
   13806.6 | 03:50:06 | TRUCK-1 | order O-5 is delivered
   13806.6 | 03:50:06 | TRUCK-1 | service is finished
   13806.6 | 03:50:06 | FINISH
